state,rate,image_path
Alabama,7.1,images/alabama.jpg
Alaska,7.1,images/alaska.jpg
Arizona,5.9,images/arizona.jpg
Arkansas,9.9,images/arkansas.jpg
California,6.5,images/california.jpg
Colorado,7.4,images/colorado.jpg
Connecticut,5.6,images/connecticut.jpg
Delaware,5.6,images/delaware.jpg
Washington D.C.,8.1,images/washington-dc.jpg
Florida,8.1,images/florida.jpg
Georgia,6.8,images/georgia.jpg
Hawaii,15.6,images/hawaii.jpg
Idaho,8.1,images/idaho.jpg
Illinois,5.4,images/illinois.jpg
Indiana,6.9,images/indiana.jpg
Iowa,6.1,images/iowa.jpg
Kansas,6.2,images/kansas.jpg
Kentucky,7.4,images/kentucky.jpg
Louisiana,6.1,images/louisiana.jpg
Maine,7.6,images/maine.jpg
Maryland,6.3,images/maryland.jpg
Massachusetts,5.8,images/massachusetts.jpg
Michigan,5.9,images/michigan.jpg
Minnesota,5.6,images/minnesota.jpg
Mississippi,7,images/mississippi.jpg
Missouri,6.9,images/missouri.jpg
Montana,7.8,images/montana.jpg
Nebraska,6.5,images/nebraska.jpg
Nevada,28.4,images/nevada.jpg
New Hampshire,7,images/new-hampshire.jpg
New Jersey,5.7,images/new-jersey.jpg
New Mexico,6.4,images/new-mexico.jpg
New York,7.5,images/new-york.jpg
North Carolina,7,images/north-carolina.jpg
North Dakota,6,images/north-dakota.jpg
Ohio,6,images/ohio.jpg
Oklahoma,6.7,images/oklahoma.jpg
Oregon,6.9,images/oregon.jpg
Pennsylvania,5.8,images/pennsylvania.jpg
Rhode Island,6.7,images/rhode-island.jpg
South Carolina,6.6,images/south-carolina.jpg
South Dakota,7.2,images/south-dakota.jpg
Tennessee,8.6,images/tennessee.jpg
Texas,7.1,images/texas.jpg
Utah,9,images/utah.jpg
Vermont,8.3,images/vermont.jpg
Virginia,7,images/virginia.jpg
Washington,6.2,images/washington.jpg
West Virginia,6.4,images/west-virginia.jpg
Wisconsin,5.6,images/wisconsin.jpg
Wyoming,7.1,images/wyoming.jpg
